"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2019","282.62","282.75","283.21","282.05","2.40M","-0.05%"
"03/13/2019","282.76","281.84","283.74","281.65","2.80M","0.69%"
"03/12/2019","280.82","280.41","281.41","280.24","2.09M","0.35%"
"03/11/2019","279.83","276.58","279.97","276.56","3.84M","1.45%"
"03/08/2019","275.82","274.20","275.95","273.72","5.32M","-0.20%"
"03/07/2019","276.38","278.15","278.28","275.36","4.55M","-0.81%"
"03/06/2019","278.63","280.49","280.50","278.30","3.41M","-0.64%"
"03/05/2019","280.42","280.89","281.10","279.76","2.50M","-0.13%"
"03/04/2019","280.78","282.98","283.18","278.17","4.81M","-0.40%"
"03/01/2019","281.92","281.81","282.23","280.18","4.20M","0.71%"
"02/28/2019","279.94","280.28","280.80","279.68","4.17M","-0.21%"
"02/27/2019","280.53","279.90","280.92","278.82","3.28M","-0.05%"
"02/26/2019","280.67","280.43","281.63","280.27","4.88M","-0.07%"
"02/25/2019","280.87","282.07","282.67","280.77","4.70M","0.15%"
"02/22/2019","280.44","279.48","280.70","279.16","4.96M","0.58%"
"02/21/2019","278.83","279.07","279.41","277.66","3.12M","-0.31%"
"02/20/2019","279.71","279.17","280.25","278.61","5.53M","0.19%"
"02/19/2019","279.17","277.83","279.91","277.80","4.59M","0.14%"
"02/15/2019","278.78","277.63","278.78","277.44","4.84M","1.14%"
"02/14/2019","275.65","275.06","276.93","274.16","7.16M","-0.23%"
"02/13/2019","276.28","276.34","277.24","275.87","2.99M","0.30%"
"02/12/2019","275.44","273.68","275.82","273.62","4.29M","1.30%"
"02/11/2019","271.91","272.47","272.78","271.33","2.77M","0.06%"
"02/08/2019","271.76","269.98","271.78","269.10","2.91M","0.11%"
"02/07/2019","271.46","272.21","272.81","269.56","6.68M","-0.94%"
"02/06/2019","274.03","274.06","274.60","273.20","3.96M","-0.15%"
"02/05/2019","274.44","273.74","274.70","273.17","4.05M","0.42%"
"02/04/2019","273.28","271.40","273.30","270.61","2.96M","0.72%"
"02/01/2019","271.33","271.43","272.47","270.46","3.90M","0.06%"
"01/31/2019","271.18","268.75","271.66","268.55","6.52M","0.86%"
"01/30/2019","268.86","266.30","269.75","265.49","5.12M","1.60%"
"01/29/2019","264.62","265.11","265.73","263.71","4.45M","-0.14%"
"01/28/2019","264.99","264.64","265.05","262.99","4.43M","-0.80%"
"01/25/2019","267.13","266.82","267.90","266.34","3.33M","0.89%"
"01/24/2019","264.78","264.43","265.41","263.31","3.73M","0.10%"
"01/23/2019","264.52","265.26","265.98","261.90","6.76M","0.14%"
"01/22/2019","264.14","266.01","266.23","262.28","5.99M","-1.33%"
"01/18/2019","267.70","266.20","268.20","265.34","6.99M","1.34%"
"01/17/2019","264.17","261.26","265.10","261.16","4.45M","0.74%"
"01/16/2019","262.24","262.00","263.16","261.80","4.39M","0.26%"
"01/15/2019","261.55","259.01","261.84","259.01","3.78M","1.08%"
"01/14/2019","258.76","258.05","259.45","257.60","3.71M","-0.48%"
"01/11/2019","260.01","258.89","260.16","258.22","5.11M","-0.05%"
"01/10/2019","260.15","257.47","260.34","256.73","4.33M","0.39%"
"01/09/2019","259.13","258.74","260.12","257.37","4.10M","0.46%"
"01/08/2019","257.94","258.03","258.47","255.17","5.35M","0.99%"
"01/07/2019","255.42","253.89","257.11","252.86","5.96M","0.67%"
"01/04/2019","253.71","248.72","254.24","248.30","6.43M","3.52%"
"01/03/2019","245.09","249.45","249.69","244.74","5.83M","-2.50%"
"01/02/2019","251.38","247.20","252.35","247.08","5.98M","0.04%"
"12/31/2018","251.27","250.70","251.29","248.65","10.12M","0.92%"
"12/28/2018","248.99","250.69","252.53","247.61","10.86M","-0.29%"
"12/27/2018","249.72","244.00","249.73","240.34","12.69M","0.97%"
"12/26/2018","247.33","237.40","247.55","235.14","13.15M","4.90%"
"12/24/2018","235.77","240.47","241.67","235.72","6.42M","-2.58%"
"12/21/2018","242.02","248.21","251.07","241.39","14.26M","-2.05%"
"12/20/2018","247.09","249.88","251.60","244.64","13.68M","-1.71%"
"12/19/2018","251.40","255.24","259.47","249.39","13.17M","-1.52%"
"12/18/2018","255.27","257.32","258.00","253.37","10.27M","-0.01%"
"12/17/2018","255.30","259.62","260.75","253.59","9.32M","-2.57%"
"12/14/2018","262.04","264.54","265.61","261.39","6.08M","-1.81%"
"12/13/2018","266.87","268.07","269.09","265.71","5.22M","-0.09%"
"12/12/2018","267.12","269.11","270.57","266.98","3.88M","0.54%"
"12/11/2018","265.69","269.24","269.45","264.05","4.53M","0.02%"
"12/10/2018","265.64","264.98","266.75","260.15","8.52M","0.15%"
"12/07/2018","265.24","271.08","272.89","264.23","6.09M","-2.29%"
"12/06/2018","271.45","267.55","271.60","264.00","8.54M","-0.26%"
"12/04/2018","272.16","280.11","280.55","271.57","6.73M","-3.14%"
"12/03/2018","280.98","282.04","282.19","279.21","5.89M","1.21%"
"11/30/2018","277.62","275.48","278.00","275.12","7.60M","0.70%"
"11/29/2018","275.69","275.40","277.25","274.11","4.90M","-0.20%"
"11/28/2018","276.25","271.24","276.25","270.15","5.48M","2.33%"
"11/27/2018","269.95","268.08","269.98","267.25","4.57M","0.32%"
"11/26/2018","269.10","267.39","269.16","266.94","3.19M","1.57%"
"11/23/2018","264.95","264.74","266.39","264.66","1.66M","-0.62%"
"11/21/2018","266.59","267.43","268.72","266.59","4.25M","0.32%"
"11/20/2018","265.74","266.94","268.59","264.73","6.27M","-1.85%"
"11/19/2018","270.76","274.73","274.99","269.71","3.56M","-1.67%"
"11/16/2018","275.36","273.46","276.35","272.92","3.80M","0.28%"
"11/15/2018","274.58","270.44","275.19","268.59","6.16M","1.01%"
"11/14/2018","271.84","275.82","276.27","270.06","4.61M","-0.69%"
"11/13/2018","273.73","274.73","276.99","272.89","5.40M","-0.15%"
"11/12/2018","274.13","278.87","279.12","273.63","3.79M","-1.95%"
"11/09/2018","279.58","280.77","280.95","277.87","5.33M","-0.90%"
"11/08/2018","282.13","281.91","282.94","280.96","7.66M","-0.22%"
"11/07/2018","282.74","279.24","282.84","278.80","7.67M","2.15%"
"11/06/2018","276.78","275.02","276.96","274.93","2.43M","0.58%"
"11/05/2018","275.19","274.20","275.66","273.02","5.61M","0.61%"
"11/02/2018","273.52","276.37","276.87","271.24","3.39M","-0.55%"
"11/01/2018","275.04","273.29","275.38","272.03","3.43M","0.97%"
"10/31/2018","272.39","272.42","274.86","271.81","7.04M","1.08%"
"10/30/2018","269.49","265.28","269.75","264.72","9.53M","1.60%"
"10/29/2018","265.25","270.47","271.88","261.49","6.30M","-0.55%"
"10/26/2018","266.73","267.50","270.36","263.88","7.15M","-1.81%"
"10/25/2018","271.65","269.00","273.46","267.83","4.59M","1.83%"
"10/24/2018","266.77","275.01","275.41","266.27","5.21M","-3.06%"
"10/23/2018","275.19","272.59","276.51","270.24","5.54M","-0.60%"
"10/22/2018","276.84","278.68","279.03","276.06","3.85M","-0.38%"
"10/19/2018","277.89","278.88","280.98","277.21","3.04M","-0.09%"
"10/18/2018","278.13","281.09","281.74","276.64","4.42M","-1.43%"
"10/17/2018","282.17","282.16","282.84","279.25","5.94M","-0.02%"
"10/16/2018","282.23","278.27","282.57","277.75","5.11M","2.20%"
"10/15/2018","276.15","277.21","278.71","275.99","3.52M","-0.54%"
"10/12/2018","277.65","278.45","278.76","274.01","7.29M","1.35%"
"10/11/2018","273.95","278.85","280.59","272.03","10.57M","-2.12%"
"10/10/2018","279.87","288.54","288.59","279.56","8.21M","-3.22%"
"10/09/2018","289.19","289.15","290.61","288.53","5.89M","-0.12%"
"10/08/2018","289.54","288.77","289.96","287.21","5.38M","0.00%"
"10/05/2018","289.53","291.47","292.04","287.97","4.37M","-0.62%"
"10/04/2018","291.34","292.99","293.02","289.42","3.84M","-0.75%"
"10/03/2018","293.55","294.52","295.00","293.11","3.47M","0.07%"
"10/02/2018","293.35","293.33","294.13","292.92","2.93M","-0.04%"
"10/01/2018","293.47","293.90","294.69","292.76","3.46M","0.39%"
"09/28/2018","292.33","291.75","293.04","291.70","5.17M","-0.03%"
"09/27/2018","292.42","292.17","293.67","291.53","2.63M","0.27%"
"09/26/2018","291.62","292.64","294.00","291.18","4.08M","-0.73%"
"09/25/2018","293.76","294.57","294.67","293.52","3.34M","-0.11%"
"09/24/2018","294.07","294.39","294.54","293.40","3.41M","-0.30%"
"09/21/2018","294.96","296.16","296.28","294.86","3.92M","-0.14%"
"09/20/2018","295.36","294.34","295.66","294.23","3.99M","0.85%"
"09/19/2018","292.88","292.63","293.40","292.55","2.35M","0.07%"
"09/18/2018","292.67","291.26","293.29","291.26","2.52M","0.56%"
"09/17/2018","291.04","292.51","292.54","290.72","2.47M","-0.50%"
"09/14/2018","292.51","292.76","292.96","291.70","2.62M","0.00%"
"09/13/2018","292.52","291.99","292.72","291.69","1.82M","0.58%"
"09/12/2018","290.84","290.73","291.46","289.90","2.63M","0.01%"
"09/11/2018","290.82","289.00","291.22","288.63","3.02M","0.33%"
"09/10/2018","289.85","290.42","290.71","289.54","2.77M","0.22%"
"09/07/2018","289.20","288.60","290.37","288.37","5.45M","-0.24%"
"09/06/2018","289.91","290.79","291.17","288.65","3.84M","-0.29%"
"09/05/2018","290.76","291.10","291.30","289.55","7.53M","-0.27%"
"09/04/2018","291.55","291.54","291.89","290.36","3.48M","-0.17%"
"08/31/2018","292.04","291.53","292.50","290.97","4.98M","0.05%"
"08/30/2018","291.89","292.60","293.06","291.30","4.67M","-0.43%"
"08/29/2018","293.14","291.85","293.43","291.56","2.81M","0.57%"
"08/28/2018","291.49","291.99","292.09","291.07","3.56M","0.03%"
"08/27/2018","291.41","290.50","291.57","290.33","3.76M","0.79%"
"08/24/2018","289.12","288.09","289.32","288.02","2.45M","0.62%"
"08/23/2018","287.34","287.58","288.57","287.08","3.33M","-0.17%"
"08/22/2018","287.83","287.52","288.39","287.21","2.12M","0.00%"
"08/21/2018","287.84","287.92","288.96","287.74","2.67M","0.17%"
"08/20/2018","287.35","287.21","287.62","286.68","1.85M","0.24%"
"08/17/2018","286.65","285.48","287.20","285.01","2.98M","0.33%"
"08/16/2018","285.71","284.98","286.68","284.98","3.37M","0.86%"
"08/15/2018","283.26","283.98","284.08","281.76","3.85M","-0.80%"
"08/14/2018","285.54","284.54","285.77","284.11","3.22M","0.64%"
"08/13/2018","283.72","285.08","285.78","283.38","3.35M","-0.34%"
"08/10/2018","284.68","285.04","285.65","283.97","3.29M","-0.71%"
"08/09/2018","286.72","287.12","287.60","286.55","2.39M","-0.09%"
"08/08/2018","286.98","287.02","287.55","286.58","3.48M","-0.03%"
"08/07/2018","287.08","287.04","287.63","286.86","5.08M","0.29%"
"08/06/2018","286.26","285.16","286.60","284.81","2.99M","0.39%"
"08/03/2018","285.16","284.14","285.26","283.93","2.26M","0.47%"
"08/02/2018","283.84","280.96","284.17","280.74","2.33M","0.48%"
"08/01/2018","282.49","283.07","283.71","281.72","2.68M","-0.14%"
"07/31/2018","282.89","282.44","283.60","281.96","3.59M","0.54%"
"07/30/2018","281.38","283.08","283.26","280.92","4.93M","-0.56%"
"07/27/2018","282.97","285.31","285.41","281.97","2.80M","-0.64%"
"07/26/2018","284.80","284.79","285.71","284.69","4.09M","-0.35%"
"07/25/2018","285.79","282.96","285.99","282.88","3.31M","0.93%"
"07/24/2018","283.16","283.33","284.14","282.22","2.25M","0.50%"
"07/23/2018","281.75","281.01","282.01","280.60","1.88M","0.18%"
"07/20/2018","281.23","281.32","282.04","281.06","4.87M","-0.11%"
"07/19/2018","281.53","281.88","282.30","281.03","3.22M","-0.41%"
"07/18/2018","282.70","282.16","282.76","281.62","3.60M","0.22%"
"07/17/2018","282.08","280.02","282.48","279.98","2.32M","0.41%"
"07/16/2018","280.94","281.21","281.35","280.42","2.22M","-0.04%"
"07/13/2018","281.04","280.74","281.50","280.22","3.12M","0.10%"
"07/12/2018","280.76","279.80","280.97","279.16","3.44M","0.86%"
"07/11/2018","278.36","278.69","279.59","278.07","3.78M","-0.75%"
"07/10/2018","280.45","279.82","280.57","279.63","3.43M","0.37%"
"07/09/2018","279.43","278.07","279.48","278.04","4.78M","0.94%"
"07/06/2018","276.83","274.65","277.36","274.24","2.94M","0.78%"
"07/05/2018","274.69","273.67","274.69","272.46","2.61M","0.86%"
"07/03/2018","272.36","274.37","274.48","271.92","1.37M","-0.40%"
"07/02/2018","273.45","270.99","273.56","270.73","4.58M","0.28%"
"06/29/2018","272.68","273.61","275.16","272.68","7.69M","0.08%"
"06/28/2018","272.45","270.71","273.24","269.95","5.29M","0.63%"
"06/27/2018","270.75","273.70","275.34","270.66","6.34M","-0.86%"
"06/26/2018","273.10","273.13","274.02","272.27","2.69M","-0.23%"
"06/25/2018","273.72","276.22","276.38","271.86","5.41M","-1.37%"
"06/22/2018","277.51","278.51","278.58","277.28","2.30M","0.21%"
"06/21/2018","276.94","278.77","278.77","276.46","2.57M","-0.69%"
"06/20/2018","278.87","279.10","279.53","278.40","2.56M","0.21%"
"06/19/2018","278.29","276.81","278.55","276.31","4.22M","-0.37%"
"06/18/2018","279.32","278.30","279.53","277.76","3.11M","-0.22%"
"06/15/2018","279.93","279.46","280.32","278.17","5.04M","-0.14%"
"06/14/2018","280.33","280.53","280.89","279.65","3.63M","0.28%"
"06/13/2018","279.54","280.75","281.05","279.38","3.09M","-0.35%"
"06/12/2018","280.51","280.65","280.90","279.77","3.52M","0.14%"
"06/11/2018","280.13","279.96","280.94","279.87","2.49M","0.17%"
"06/08/2018","279.66","278.40","279.80","278.22","4.14M","0.28%"
"06/07/2018","278.88","279.52","279.86","277.89","3.08M","-0.06%"
"06/06/2018","279.06","277.35","279.09","276.63","4.84M","0.86%"
"06/05/2018","276.68","276.55","277.07","275.72","1.81M","0.09%"
"06/04/2018","276.43","276.02","276.72","275.81","3.09M","0.47%"
"06/01/2018","275.15","273.94","275.47","273.89","3.25M","1.02%"
"05/31/2018","272.36","273.71","273.97","271.77","4.63M","-0.66%"
"05/30/2018","274.17","272.08","274.61","271.93","3.90M","1.33%"
"05/29/2018","270.56","271.79","272.66","269.25","4.18M","-1.11%"
"05/25/2018","273.60","273.67","274.38","273.09","3.33M","-0.28%"
"05/24/2018","274.37","274.45","274.74","272.30","3.19M","-0.18%"
"05/23/2018","274.87","272.68","274.92","272.54","2.28M","0.28%"
"05/22/2018","274.09","275.48","275.79","273.75","1.92M","-0.27%"
"05/21/2018","274.83","274.48","275.49","274.09","1.80M","0.73%"
"05/18/2018","272.84","273.12","273.54","272.44","2.26M","-0.24%"
"05/17/2018","273.51","273.45","274.74","272.61","2.29M","-0.08%"
"05/16/2018","273.72","272.61","274.24","272.61","2.07M","0.47%"
"05/15/2018","272.44","273.08","273.13","271.54","3.82M","-0.73%"
"05/14/2018","274.44","274.84","275.56","273.90","1.88M","0.13%"
"05/11/2018","274.09","273.66","274.66","273.11","2.64M","0.20%"
"05/10/2018","273.53","271.87","273.89","271.70","3.49M","0.91%"
"05/09/2018","271.07","269.14","271.35","268.58","3.34M","1.03%"
"05/08/2018","268.31","267.96","268.76","266.60","3.26M","-0.04%"
"05/07/2018","268.42","268.38","269.47","267.58","2.19M","0.36%"
"05/04/2018","267.45","262.95","268.23","262.58","2.38M","1.29%"
"05/03/2018","264.04","263.64","264.79","260.45","3.41M","-0.22%"
"05/02/2018","264.61","266.22","267.11","264.17","3.09M","-0.69%"
"05/01/2018","266.46","265.42","266.55","263.54","2.97M","0.19%"
"04/30/2018","265.95","268.70","269.33","265.84","3.84M","-0.77%"
"04/27/2018","268.02","268.42","268.81","266.93","3.58M","0.09%"
"04/26/2018","267.78","266.24","268.69","265.74","2.56M","1.03%"
"04/25/2018","265.06","264.34","265.56","262.31","3.59M","0.20%"
"04/24/2018","264.53","269.18","269.43","262.69","4.82M","-1.32%"
"04/23/2018","268.07","268.79","269.35","266.82","3.00M","0.00%"
"04/20/2018","268.07","270.28","270.52","267.08","2.88M","-0.84%"
"04/19/2018","270.35","271.11","271.34","269.18","2.68M","-0.54%"
"04/18/2018","271.82","272.17","272.77","271.39","2.77M","0.04%"
"04/17/2018","271.70","270.81","272.36","270.21","2.79M","1.07%"
"04/16/2018","268.82","268.43","269.66","267.53","3.31M","0.83%"
"04/13/2018","266.60","268.93","268.99","265.44","4.03M","-0.31%"
"04/12/2018","267.42","266.72","268.45","266.50","2.99M","0.85%"
"04/11/2018","265.16","264.91","267.06","264.82","3.00M","-0.54%"
"04/10/2018","266.60","265.75","267.49","264.43","4.19M","1.62%"
"04/09/2018","262.34","262.87","266.27","261.95","3.36M","0.43%"
"04/06/2018","261.21","264.84","266.57","259.40","5.70M","-2.21%"
"04/05/2018","267.11","266.98","268.05","265.78","3.07M","0.69%"
"04/04/2018","265.27","258.17","265.81","258.00","3.77M","1.16%"
"04/03/2018","262.22","260.27","262.68","258.25","6.60M","1.30%"
"04/02/2018","258.86","264.01","264.57","256.08","6.10M","-2.32%"
"03/29/2018","265.01","262.50","266.68","261.71","5.56M","1.44%"
"03/28/2018","261.26","262.16","264.08","260.00","5.10M","-0.27%"
"03/27/2018","261.96","267.61","268.22","260.25","5.71M","-1.75%"
"03/26/2018","266.63","263.71","266.87","260.83","6.54M","2.76%"
"03/23/2018","259.47","265.64","266.46","259.25","5.83M","-2.13%"
"03/22/2018","265.11","269.30","270.36","264.85","4.73M","-2.96%"
"03/21/2018","273.19","273.60","276.02","272.93","4.23M","-0.18%"
"03/20/2018","273.68","273.63","274.38","272.93","5.92M","0.17%"
"03/19/2018","273.21","276.11","276.12","271.35","4.57M","-1.34%"
"03/16/2018","276.92","277.28","278.15","276.92","9.11M","0.09%"
"03/15/2018","276.67","277.58","278.28","276.09","3.44M","-0.10%"
"03/14/2018","276.96","279.52","279.72","276.36","4.15M","-0.51%"
"03/13/2018","278.39","281.54","282.11","277.73","5.28M","-0.65%"
"03/12/2018","280.21","280.93","281.61","279.78","3.28M","-0.08%"
"03/09/2018","280.44","277.39","280.54","277.01","5.53M","1.70%"
"03/08/2018","275.75","275.19","275.88","274.07","3.45M","0.47%"
"03/07/2018","274.47","272.06","274.81","271.86","4.15M","-0.04%"
"03/06/2018","274.57","274.91","275.04","272.82","4.39M","0.27%"
"03/05/2018","273.82","269.34","274.53","269.22","4.12M","1.10%"
"03/02/2018","270.83","267.32","271.34","266.40","5.46M","0.56%"
"03/01/2018","269.33","273.09","274.79","267.58","7.71M","-1.33%"
"02/28/2018","272.97","277.36","277.85","272.96","4.95M","-1.13%"
"02/27/2018","276.10","279.82","280.65","276.03","6.11M","-1.24%"
"02/26/2018","279.58","277.58","279.68","276.95","3.80M","1.17%"
"02/23/2018","276.34","273.48","276.36","272.92","6.62M","1.60%"
"02/22/2018","272.00","272.76","274.69","271.26","5.54M","0.14%"
"02/21/2018","271.63","273.53","276.35","271.61","8.17M","-0.52%"
"02/20/2018","273.04","273.66","275.31","272.15","5.58M","-0.61%"
"02/16/2018","274.71","273.98","276.98","273.85","4.74M","0.03%"
"02/15/2018","274.64","273.15","274.65","270.41","5.46M","1.24%"
"02/14/2018","271.28","266.00","271.61","265.86","6.38M","1.38%"
"02/13/2018","267.59","265.54","268.19","264.88","4.21M","0.29%"
"02/12/2018","266.81","265.31","268.56","263.46","6.80M","1.33%"
"02/09/2018","263.31","262.41","265.18","254.42","15.08M","1.56%"
"02/08/2018","259.26","269.57","269.75","259.10","9.56M","-3.70%"
"02/07/2018","269.22","270.09","273.98","269.22","9.32M","-0.62%"
"02/06/2018","270.89","261.52","271.27","260.21","16.09M","1.96%"
"02/05/2018","265.69","275.07","277.48","264.81","14.71M","-4.13%"
"02/02/2018","277.15","281.71","281.90","277.06","6.85M","-2.21%"
"02/01/2018","283.40","282.77","284.77","282.38","4.55M","-0.13%"
"01/31/2018","283.76","284.41","285.01","282.37","6.99M","0.18%"
"01/30/2018","283.26","284.25","284.99","282.91","7.42M","-1.08%"
"01/29/2018","286.36","287.72","288.15","286.23","4.90M","-0.66%"
"01/26/2018","288.26","285.96","288.29","285.67","3.38M","1.16%"
"01/25/2018","284.96","285.83","285.96","284.11","4.01M","0.04%"
"01/24/2018","284.85","285.74","286.41","283.54","5.15M","-0.05%"
"01/23/2018","285.00","284.43","285.31","284.09","3.53M","0.23%"
"01/22/2018","284.34","281.82","284.37","281.80","4.50M","0.79%"
"01/19/2018","282.10","281.50","282.10","280.83","4.28M","0.44%"
"01/18/2018","280.87","281.18","281.62","280.25","3.46M","-0.15%"
"01/17/2018","281.29","279.67","281.72","278.86","4.70M","0.99%"
"01/16/2018","278.52","281.01","281.76","277.82","6.54M","-0.36%"
"01/12/2018","279.53","278.10","279.77","277.96","4.50M","0.66%"
"01/11/2018","277.71","276.40","277.75","276.21","3.14M","0.71%"
"01/10/2018","275.75","275.34","276.06","274.56","3.94M","-0.16%"
"01/09/2018","276.19","276.06","276.88","275.74","3.15M","0.23%"
"01/08/2018","275.56","274.99","275.73","274.61","2.88M","0.22%"
"01/05/2018","274.95","274.17","275.18","273.60","4.15M","0.63%"
"01/04/2018","273.23","272.86","273.79","272.74","3.39M","0.43%"
"01/03/2018","272.05","270.68","272.26","270.58","3.77M","0.58%"
"01/02/2018","270.48","269.47","270.48","269.00","8.55M","0.74%"
"12/29/2017","268.48","270.13","270.13","268.22","3.37M","-0.35%"
"12/28/2017","269.42","269.43","269.51","269.04","2.61M","0.19%"
"12/27/2017","268.92","268.93","269.31","268.60","3.32M","0.06%"
"12/26/2017","268.75","268.67","269.01","268.48","2.80M","-0.13%"
"12/22/2017","269.09","269.18","269.23","268.49","4.58M","-0.03%"
"12/21/2017","269.16","269.31","269.97","268.90","3.89M","0.20%"
"12/20/2017","268.62","269.84","269.93","268.30","3.02M","-0.05%"
"12/19/2017","268.76","270.11","270.11","268.69","5.19M","-0.86%"
"12/18/2017","271.10","270.94","271.47","270.86","5.64M","0.62%"
"12/15/2017","269.42","268.33","269.88","268.24","7.66M","0.85%"
"12/14/2017","267.16","268.56","268.70","267.07","6.00M","-0.39%"
"12/13/2017","268.20","268.53","269.04","268.14","3.39M","-0.02%"
"12/12/2017","268.26","268.09","268.80","267.82","3.37M","0.15%"
"12/11/2017","267.85","267.01","267.86","266.97","3.46M","0.34%"
"12/08/2017","266.93","266.44","267.00","266.20","2.63M","0.54%"
"12/07/2017","265.49","264.54","265.88","264.41","4.92M","0.30%"
"12/06/2017","264.69","264.25","265.19","264.17","2.30M","0.02%"
"12/05/2017","264.63","265.87","266.60","264.48","2.91M","-0.37%"
"12/04/2017","265.62","267.76","268.28","265.59","5.24M","-0.11%"
"12/01/2017","265.90","266.25","266.77","262.21","6.31M","-0.23%"
"11/30/2017","266.52","265.22","267.50","265.14","4.90M","0.91%"
"11/29/2017","264.12","264.48","265.08","263.64","3.27M","-0.06%"
"11/28/2017","264.29","262.23","264.34","262.09","2.26M","1.01%"
"11/27/2017","261.65","261.82","262.18","261.43","3.68M","-0.03%"
"11/24/2017","261.73","261.70","261.91","261.59","1.20M","0.21%"
"11/22/2017","261.18","261.40","261.55","260.98","3.53M","-0.07%"
"11/21/2017","261.37","260.59","261.61","260.51","2.93M","0.65%"
"11/20/2017","259.68","259.55","259.92","259.25","2.78M","0.16%"
"11/17/2017","259.27","259.52","259.83","259.18","3.21M","-0.27%"
"11/16/2017","259.98","258.95","260.46","258.91","3.55M","0.83%"
"11/15/2017","257.83","258.04","258.62","257.03","2.71M","-0.54%"
"11/14/2017","259.22","258.79","259.26","257.93","3.74M","-0.20%"
"11/13/2017","259.74","258.71","260.01","258.67","2.45M","0.11%"
"11/10/2017","259.45","259.12","259.61","258.78","2.80M","-0.07%"
"11/09/2017","259.63","259.13","259.80","257.76","2.99M","-0.36%"
"11/08/2017","260.58","259.89","260.64","259.58","3.85M","0.17%"
"11/07/2017","260.13","260.44","260.76","259.51","5.42M","-0.05%"
"11/06/2017","260.26","259.68","260.41","259.63","2.44M","0.17%"
"11/03/2017","259.82","259.18","259.89","258.71","2.69M","0.31%"
"11/02/2017","259.01","258.82","259.13","257.59","3.35M","0.05%"
"11/01/2017","258.88","259.43","259.83","258.47","2.51M","0.16%"
"10/31/2017","258.46","258.59","258.84","258.21","3.35M","0.11%"
"10/30/2017","258.17","258.47","258.99","257.82","4.34M","-0.34%"
"10/27/2017","259.05","257.89","259.28","257.55","2.56M","0.80%"
"10/26/2017","257.00","257.40","257.68","256.94","4.21M","0.12%"
"10/25/2017","256.69","257.55","257.69","255.37","5.03M","-0.47%"
"10/24/2017","257.90","257.96","258.21","257.54","3.48M","0.15%"
"10/23/2017","257.51","258.86","258.87","257.40","3.63M","-0.38%"
"10/20/2017","258.50","258.13","258.53","257.81","1.99M","0.51%"
"10/19/2017","257.18","256.22","257.20","255.73","2.58M","0.04%"
"10/18/2017","257.08","257.29","257.34","256.89","1.73M","0.09%"
"10/17/2017","256.86","256.62","256.90","256.37","2.22M","0.06%"
"10/16/2017","256.70","256.57","256.89","256.19","2.83M","0.16%"
"10/13/2017","256.28","256.55","256.66","256.14","2.55M","0.11%"
"10/12/2017","255.99","256.00","256.43","255.75","3.01M","-0.14%"
"10/11/2017","256.36","255.86","256.39","255.70","3.58M","0.14%"
"10/10/2017","255.99","256.00","256.42","255.37","3.85M","0.26%"
"10/09/2017","255.33","255.99","256.07","255.02","1.39M","-0.17%"
"10/06/2017","255.76","255.53","255.84","255.25","8.05M","-0.11%"
"10/05/2017","256.03","254.92","256.07","254.77","4.06M","0.58%"
"10/04/2017","254.55","254.05","254.80","253.94","2.83M","0.13%"
"10/03/2017","254.22","253.78","254.24","253.58","2.21M","0.24%"
"10/02/2017","253.62","252.84","253.64","252.76","4.04M","0.41%"
"09/29/2017","252.58","251.67","252.67","251.48","5.55M","0.37%"
"09/28/2017","251.66","251.04","251.78","250.98","2.69M","0.11%"
"09/27/2017","251.39","251.26","251.82","250.21","3.77M","0.39%"
"09/26/2017","250.41","250.76","251.03","250.15","3.61M","-0.45%"
"09/25/2017","251.55","251.75","252.17","250.70","5.20M","-0.19%"
"09/22/2017","252.02","251.66","252.25","251.65","2.45M","0.00%"
"09/21/2017","252.01","252.52","252.60","251.81","2.93M","-0.29%"
"09/20/2017","252.75","252.70","252.81","251.56","5.50M","0.06%"
"09/19/2017","252.60","252.61","252.70","252.24","3.63M","0.10%"
"09/18/2017","252.36","252.23","252.74","251.90","1.67M","0.23%"
"09/15/2017","251.79","251.36","251.89","251.20","2.54M","0.12%"
"09/14/2017","251.48","251.17","251.68","250.99","3.00M","-0.04%"
"09/13/2017","251.57","251.08","251.60","250.98","2.14M","0.04%"
"09/12/2017","251.46","251.01","251.47","250.81","2.67M","0.36%"
"09/11/2017","250.56","249.41","250.67","249.39","3.15M","1.09%"
"09/08/2017","247.85","247.85","248.45","247.65","3.30M","-0.17%"
"09/07/2017","248.27","248.62","248.62","247.75","3.55M","0.00%"
"09/06/2017","248.27","248.21","248.63","247.57","3.78M","0.34%"
"09/05/2017","247.44","248.57","248.85","246.28","5.11M","-0.72%"
"09/01/2017","249.23","249.29","249.69","249.04","5.91M","0.17%"
"08/31/2017","248.80","248.05","249.12","247.96","4.86M","0.57%"
"08/30/2017","247.39","246.16","247.65","245.95","1.94M","0.48%"
"08/29/2017","246.20","244.42","246.47","244.24","3.60M","0.13%"
"08/28/2017","245.89","246.47","246.51","245.41","1.90M","0.02%"
"08/25/2017","245.84","246.22","246.93","245.71","3.19M","0.20%"
"08/24/2017","245.35","246.32","246.49","245.05","2.32M","-0.19%"
"08/23/2017","245.81","245.63","246.35","245.47","2.49M","-0.34%"
"08/22/2017","246.66","244.87","246.94","244.85","2.19M","0.98%"
"08/21/2017","244.26","243.92","244.48","243.12","3.51M","0.14%"
"08/18/2017","243.92","244.21","245.46","243.50","5.01M","-0.22%"
