"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2021","452.51","450.73","452.51","450.06","2.73M","0.79%"
"10/18/2021","448.98","445.72","449.29","445.00","2.69M","0.29%"
"10/15/2021","447.68","446.55","448.00","445.84","3.72M","0.77%"
"10/14/2021","444.27","440.83","444.39","440.29","3.59M","1.71%"
"10/13/2021","436.79","436.37","437.74","433.23","5.34M","0.36%"
"10/12/2021","435.24","437.39","437.77","434.48","4.99M","-0.25%"
"10/11/2021","436.34","438.86","441.97","436.31","2.83M","-0.75%"
"10/08/2021","439.62","441.19","441.59","438.92","3.06M","-0.15%"
"10/07/2021","440.27","440.13","443.39","439.90","4.11M","0.83%"
"10/06/2021","436.65","430.98","436.82","429.21","5.13M","0.43%"
"10/05/2021","434.80","431.97","437.17","431.09","4.74M","1.05%"
"10/04/2021","430.29","434.69","435.61","428.00","7.91M","-1.30%"
"10/01/2021","435.95","432.70","437.73","428.94","6.78M","1.19%"
"09/30/2021","430.82","437.70","438.47","430.60","7.71M","-1.24%"
"09/29/2021","436.22","436.89","438.73","435.55","4.17M","0.17%"
"09/28/2021","435.47","441.43","441.75","434.64","7.59M","-2.00%"
"09/27/2021","444.34","444.54","445.77","443.61","3.18M","-0.31%"
"09/24/2021","445.74","443.16","446.40","442.93","3.43M","-0.19%"
"09/23/2021","446.58","443.25","448.29","442.98","4.24M","1.20%"
"09/22/2021","441.29","439.46","443.41","438.42","4.93M","0.99%"
"09/21/2021","436.98","439.89","441.25","436.42","6.33M","-0.06%"
"09/20/2021","437.23","438.26","439.89","432.17","10.01M","-1.69%"
"09/17/2021","444.73","448.37","448.78","444.42","4.72M","-0.96%"
"09/16/2021","449.06","449.32","450.34","446.01","2.27M","-0.19%"
"09/15/2021","449.90","446.60","450.39","445.45","5.47M","0.83%"
"09/14/2021","446.19","450.08","450.32","445.20","3.66M","-0.53%"
"09/13/2021","448.58","450.68","450.93","446.09","3.01M","0.23%"
"09/10/2021","447.54","453.06","453.51","447.30","3.02M","-0.76%"
"09/09/2021","450.98","452.69","454.58","450.73","3.85M","-0.45%"
"09/08/2021","453.00","452.90","453.68","450.87","4.08M","-0.13%"
"09/07/2021","453.60","454.75","454.83","452.76","2.44M","-0.32%"
"09/03/2021","455.07","454.12","455.65","453.58","2.62M","-0.04%"
"09/02/2021","455.27","455.35","456.08","453.96","2.70M","0.30%"
"09/01/2021","453.91","454.55","455.14","453.58","3.79M","0.04%"
"08/31/2021","453.71","454.19","454.51","452.95","3.28M","-0.11%"
"08/30/2021","454.20","453.05","455.09","452.72","2.43M","0.44%"
"08/27/2021","452.19","449.07","452.65","449.06","4.03M","0.88%"
"08/26/2021","448.25","450.69","450.84","448.15","3.62M","-0.59%"
"08/25/2021","450.91","450.17","451.45","449.75","3.26M","0.21%"
"08/24/2021","449.97","449.96","450.52","449.42","2.90M","0.17%"
"08/23/2021","449.19","447.12","450.21","447.11","4.09M","0.87%"
"08/20/2021","445.31","442.14","445.66","441.66","4.66M","0.80%"
"08/19/2021","441.79","438.19","443.05","438.03","4.82M","0.15%"
"08/18/2021","441.14","444.88","446.56","440.87","5.14M","-1.08%"
"08/17/2021","445.95","446.15","446.91","442.78","7.12M","-0.68%"
"08/16/2021","449.00","446.56","449.07","444.83","3.33M","0.26%"
"08/13/2021","447.85","447.54","447.88","447.04","2.94M","0.25%"
"08/12/2021","446.72","445.60","447.21","444.63","4.71M","0.23%"
"08/11/2021","445.68","445.78","445.84","444.57","3.29M","0.24%"
"08/10/2021","444.63","444.55","445.39","443.82","2.65M","0.12%"
"08/09/2021","444.11","444.42","444.72","443.24","1.69M","-0.07%"
