volume,vw,open,close,high,low,timestamp,transactions
5694630.0,1.3134,1.3167,1.3133,1.3243,1.3,2010-08-27 04:00:00,2062
10990965.0,1.328,1.3133,1.3247,1.346,1.3073,2010-08-30 04:00:00,3180
3015180.0,1.303,1.3107,1.2987,1.3193,1.2887,2010-08-31 04:00:00,1138
7435275.0,1.3421,1.308,1.3633,1.3793,1.3067,2010-09-01 04:00:00,2413
7305900.0,1.3888,1.358,1.404,1.416,1.354,2010-09-02 04:00:00,2825
6521340.0,1.4042,1.3913,1.4033,1.42,1.3773,2010-09-03 04:00:00,2389
3650025.0,1.3786,1.374,1.3693,1.4,1.3667,2010-09-07 04:00:00,1573
4325730.0,1.3856,1.3773,1.3933,1.3967,1.3733,2010-09-08 04:00:00,1180
5642955.0,1.3873,1.4,1.3807,1.4033,1.3793,2010-09-09 04:00:00,1555
5798565.0,1.3536,1.3833,1.3447,1.3953,1.3173,2010-09-10 04:00:00,2066
5410545.0,1.3818,1.3927,1.3813,1.3933,1.3667,2010-09-13 04:00:00,1887
9819435.0,1.4127,1.3693,1.408,1.44,1.3687,2010-09-14 04:00:00,3378
10271370.0,1.4434,1.3987,1.4653,1.4667,1.386,2010-09-15 04:00:00,3692
40288200.0,1.4666,1.4767,1.396,1.544,1.3893,2010-09-16 04:00:00,13393
17976870.0,1.3467,1.4013,1.3487,1.4213,1.32,2010-09-17 04:00:00,5814
14212125.0,1.3928,1.378,1.4037,1.4233,1.344,2010-09-20 04:00:00,5368
11940000.0,1.4105,1.3927,1.3847,1.4367,1.378,2010-09-21 04:00:00,4487
14442240.0,1.3508,1.3913,1.3247,1.3967,1.32,2010-09-22 04:00:00,4781
10021140.0,1.3147,1.326,1.304,1.3427,1.3,2010-09-23 04:00:00,3596
8684805.0,1.3343,1.33,1.34,1.346,1.31,2010-09-24 04:00:00,2862
6278955.0,1.3641,1.36,1.3687,1.3873,1.3367,2010-09-27 04:00:00,2272
18216975.0,1.4096,1.4027,1.4267,1.4327,1.384,2010-09-28 04:00:00,6173
29541855.0,1.4561,1.4127,1.4653,1.4687,1.4087,2010-09-29 04:00:00,7001
32949375.0,1.3832,1.4667,1.3603,1.4767,1.346,2010-09-30 04:00:00,7766
8986065.0,1.3702,1.3793,1.3733,1.3833,1.354,2010-10-01 04:00:00,3064
9653985.0,1.3872,1.362,1.3993,1.4113,1.3533,2010-10-04 04:00:00,3231
4979040.0,1.4095,1.41,1.408,1.4187,1.4007,2010-10-05 04:00:00,1552
4703280.0,1.3722,1.404,1.364,1.4172,1.3547,2010-10-06 04:00:00,1605
2115300.0,1.362,1.3713,1.362,1.376,1.356,2010-10-07 04:00:00,728
4021650.0,1.3733,1.362,1.362,1.386,1.3593,2010-10-08 04:00:00,1484
2567910.0,1.3567,1.3627,1.3493,1.3799,1.338,2010-10-11 04:00:00,887
3658680.0,1.3422,1.3467,1.3493,1.3522,1.3353,2010-10-12 04:00:00,1345
4808115.0,1.3717,1.376,1.3693,1.39,1.3573,2010-10-13 04:00:00,1508
4419300.0,1.378,1.4,1.3833,1.402,1.36,2010-10-14 04:00:00,1583
4272600.0,1.3657,1.3927,1.3693,1.3933,1.35,2010-10-15 04:00:00,1707
2440935.0,1.3596,1.368,1.3487,1.376,1.348,2010-10-18 04:00:00,851
3676905.0,1.3411,1.3467,1.3367,1.3604,1.3333,2010-10-19 04:00:00,1063
4686660.0,1.3617,1.344,1.3767,1.3793,1.336,2010-10-20 04:00:00,1395
6269985.0,1.3804,1.374,1.3833,1.3967,1.3633,2010-10-21 04:00:00,1385
2415315.0,1.3825,1.3787,1.3813,1.3953,1.37,2010-10-22 04:00:00,724
1779210.0,1.3915,1.396,1.39,1.3987,1.382,2010-10-25 04:00:00,545
9732090.0,1.424,1.3867,1.424,1.458,1.3673,2010-10-26 04:00:00,2782
5347500.0,1.4,1.4167,1.4,1.4253,1.3767,2010-10-27 04:00:00,1498
3362850.0,1.4121,1.426,1.4127,1.4333,1.3973,2010-10-28 04:00:00,966
4210230.0,1.4331,1.4093,1.456,1.4567,1.4035,2010-10-29 04:00:00,1487
6836760.0,1.4584,1.4627,1.4273,1.5167,1.4207,2010-11-01 04:00:00,2086
